"","bin_count","bin_range","age","n","freq"
"1",10,"(506,547]","31",36,0.73469387755102
"2",10,"(506,547]","41",13,0.26530612244898
"3",10,"(547,588]","31",210,0.734265734265734
"4",10,"(547,588]","41",72,0.251748251748252
"5",10,"(547,588]","51",4,0.013986013986014
"6",10,"(588,629]","31",544,0.530731707317073
"7",10,"(588,629]","41",452,0.440975609756098
"8",10,"(588,629]","51",29,0.0282926829268293
"9",10,"(629,670]","31",401,0.171514114627887
"10",10,"(629,670]","41",1811,0.774593669803251
"11",10,"(629,670]","51",126,0.0538922155688623
"12",10,"(670,711]","31",137,0.0343530591775326
"13",10,"(670,711]","41",3407,0.854312938816449
"14",10,"(670,711]","51",444,0.111334002006018
"15",10,"(711,752]","31",46,0.0124089560291341
"16",10,"(711,752]","41",2681,0.723226328567575
"17",10,"(711,752]","51",980,0.264364715403291
"18",10,"(752,793]","31",18,0.00910470409711684
"19",10,"(752,793]","41",794,0.40161861406171
"20",10,"(752,793]","51",1165,0.589276681841174
"21",10,"(793,834]","31",3,0.0045045045045045
"22",10,"(793,834]","41",107,0.160660660660661
"23",10,"(793,834]","51",556,0.834834834834835
"24",10,"(834,875]","41",10,0.0869565217391304
"25",10,"(834,875]","51",105,0.91304347826087
"26",10,"(875,916]","51",7,1
"27",15,"(506,533]","31",18,0.666666666666667
"28",15,"(506,533]","41",9,0.333333333333333
"29",15,"(533,561]","31",51,0.728571428571429
"30",15,"(533,561]","41",18,0.257142857142857
"31",15,"(533,561]","51",1,0.0142857142857143
"32",15,"(561,588]","31",177,0.743697478991597
"33",15,"(561,588]","41",58,0.243697478991597
"34",15,"(561,588]","51",3,0.0126050420168067
"35",15,"(588,615]","31",373,0.633276740237691
"36",15,"(588,615]","41",199,0.33786078098472
"37",15,"(588,615]","51",17,0.0288624787775891
"38",15,"(615,643]","31",333,0.338758901322482
"39",15,"(615,643]","41",615,0.625635808748728
"40",15,"(615,643]","51",35,0.0356052899287894
"41",15,"(643,670]","31",239,0.133445002791736
"42",15,"(643,670]","41",1449,0.809045226130653
"43",15,"(643,670]","51",103,0.0575097710776103
"44",15,"(670,697]","31",110,0.0429352068696331
"45",15,"(670,697]","41",2216,0.864949258391881
"46",15,"(670,697]","51",236,0.0921155347384856
"47",15,"(697,725]","31",40,0.0146412884333821
"48",15,"(697,725]","41",2228,0.815519765739385
"49",15,"(697,725]","51",464,0.169838945827233
"50",15,"(725,752]","31",33,0.0137442732194919
"51",15,"(725,752]","41",1644,0.684714702207414
"52",15,"(725,752]","51",724,0.301541024573095
"53",15,"(752,779]","31",12,0.00803212851405622
"54",15,"(752,779]","41",651,0.43574297188755
"55",15,"(752,779]","51",831,0.556224899598394
"56",15,"(779,807]","31",8,0.0097799511002445
"57",15,"(779,807]","41",211,0.257946210268949
"58",15,"(779,807]","51",599,0.732273838630807
"59",15,"(807,834]","31",1,0.00302114803625378
"60",15,"(807,834]","41",39,0.117824773413897
"61",15,"(807,834]","51",291,0.879154078549849
"62",15,"(834,861]","41",8,0.0776699029126214
"63",15,"(834,861]","51",95,0.922330097087379
"64",15,"(861,889]","41",2,0.125
"65",15,"(861,889]","51",14,0.875
"66",15,"(889,916]","51",3,1
"67",20,"(506,526]","31",11,0.6875
"68",20,"(506,526]","41",5,0.3125
"69",20,"(526,547]","31",25,0.757575757575758
"70",20,"(526,547]","41",8,0.242424242424242
"71",20,"(547,568]","31",60,0.697674418604651
"72",20,"(547,568]","41",25,0.290697674418605
"73",20,"(547,568]","51",1,0.0116279069767442
"74",20,"(568,588]","31",150,0.75
"75",20,"(568,588]","41",47,0.235
"76",20,"(568,588]","51",3,0.015
"77",20,"(588,608]","31",248,0.652631578947368
"78",20,"(588,608]","41",122,0.321052631578947
"79",20,"(588,608]","51",10,0.0263157894736842
"80",20,"(608,629]","31",296,0.458914728682171
"81",20,"(608,629]","41",330,0.511627906976744
"82",20,"(608,629]","51",19,0.0294573643410853
"83",20,"(629,650]","31",228,0.252771618625277
"84",20,"(629,650]","41",629,0.697339246119734
"85",20,"(629,650]","51",45,0.0498891352549889
"86",20,"(650,670]","31",173,0.120473537604457
"87",20,"(650,670]","41",1182,0.823119777158774
"88",20,"(650,670]","51",81,0.0564066852367688
"89",20,"(670,690]","31",90,0.0493691716950082
"90",20,"(670,690]","41",1578,0.865606143719144
"91",20,"(670,690]","51",155,0.0850246845858475
"92",20,"(690,711]","31",47,0.0217090069284065
"93",20,"(690,711]","41",1829,0.844803695150115
"94",20,"(690,711]","51",289,0.133487297921478
"95",20,"(711,732]","31",17,0.0085556114745848
"96",20,"(711,732]","41",1539,0.77453447408153
"97",20,"(711,732]","51",431,0.216909914443885
"98",20,"(732,752]","31",29,0.0168604651162791
"99",20,"(732,752]","41",1142,0.663953488372093
"100",20,"(732,752]","51",549,0.319186046511628
"101",20,"(752,772]","31",9,0.00764006791171477
"102",20,"(752,772]","41",543,0.460950764006791
"103",20,"(752,772]","51",626,0.531409168081494
"104",20,"(772,793]","31",9,0.0112640801001252
"105",20,"(772,793]","41",251,0.314142678347935
"106",20,"(772,793]","51",539,0.67459324155194
"107",20,"(793,814]","31",2,0.00449438202247191
"108",20,"(793,814]","41",84,0.18876404494382
"109",20,"(793,814]","51",359,0.806741573033708
"110",20,"(814,834]","31",1,0.00452488687782805
"111",20,"(814,834]","41",23,0.104072398190045
"112",20,"(814,834]","51",197,0.891402714932127
"113",20,"(834,854]","41",7,0.0813953488372093
"114",20,"(834,854]","51",79,0.918604651162791
"115",20,"(854,875]","41",3,0.103448275862069
"116",20,"(854,875]","51",26,0.896551724137931
"117",20,"(875,896]","51",5,1
"118",20,"(896,916]","51",2,1
"119",8,"(506,557]","31",61,0.709302325581395
"120",8,"(506,557]","41",24,0.27906976744186
"121",8,"(506,557]","51",1,0.0116279069767442
"122",8,"(557,608]","31",433,0.688394276629571
"123",8,"(557,608]","41",183,0.29093799682035
"124",8,"(557,608]","51",13,0.0206677265500795
"125",8,"(608,660]","31",627,0.29108635097493
"126",8,"(608,660]","41",1437,0.667130919220056
"127",8,"(608,660]","51",90,0.0417827298050139
"128",8,"(660,711]","31",207,0.0429728046501972
"129",8,"(660,711]","41",4111,0.853435748391115
"130",8,"(660,711]","51",499,0.103591446958688
"131",8,"(711,762]","31",54,0.012311901504788
"132",8,"(711,762]","41",3019,0.688326493388053
"133",8,"(711,762]","51",1313,0.299361605107159
"134",8,"(762,814]","31",12,0.00688468158347676
"135",8,"(762,814]","41",540,0.309810671256454
"136",8,"(762,814]","51",1191,0.683304647160069
"137",8,"(814,865]","31",1,0.00304878048780488
"138",8,"(814,865]","41",32,0.0975609756097561
"139",8,"(814,865]","51",295,0.899390243902439
"140",8,"(865,916]","41",1,0.0666666666666667
"141",8,"(865,916]","51",14,0.933333333333333
